Index,To-Closest-Doubles-Sideline-Distance (m),To-Baseline-Distance (m)
1,3.06,3.79
2,2.22,3.2
3,3,5.04
4,1.94,3.01
5,1.69,2.03
6,2.33,1.16
7,1.5,5.16
8,1.69,3.66
9,1.78,4.78
10,1.45,4.82
11,1.81,3.75
12,2.21,5.15
13,2.43,3.33
14,1.64,2.74
15,0.47,0
16,0.75,3.43
17,2.71,1.29
18,1.81,2.55
19,1.19,3.59
20,2.02,5.34
21,2.21,3.47
22,1.87,1.4
23,1.72,2.49
24,2.52,3.4
25,1.93,1.9
26,2.03,3.72
27,0.54,2.51
28,1.74,1.73
29,1.71,4.15
30,0.1,1.56
31,2.06,3.51
32,2.59,3.33
33,2.1,2.05
34,3.2,3.04
35,1.09,2.1
36,3.26,1.48
37,1.93,3.51
38,2.05,2.33
39,1.6,2.7
40,2.16,2.98
41,2.77,2.63
42,1.64,3.69
43,2.26,2.31
44,2.22,3.33
45,1.65,1.6
46,1.97,1.21
47,1.26,0.4
48,1.97,1.02
49,2,1.67
50,0.83,1.11
51,1.8,1.34
52,2.32,1.83
53,1.37,1.8
54,1.99,2.26
55,1.61,2.17
56,2.09,2.4
57,2.21,2.22
58,1.44,3.19
59,1.68,2.14
60,2.88,-0.21
61,2.5,2.35
62,1.97,1.37
63,2.72,1.03
64,2.26,3.74
65,1.97,-0.73
66,2.88,0.7
67,1.74,3.27
68,1.09,3.63
69,1.1,3.5
70,1.06,1.57
71,2.63,2.21
72,0.69,0.67
73,2.12,3.49
74,1.02,3.72
75,2.08,3.53
76,2.12,3.11
77,1.34,2.69
78,2.13,3.31
79,1.75,2.13
80,2.07,1.36
81,1.47,4.06
82,1.52,1.32
83,1.86,3.48
84,0.63,-0.19
85,1.15,2.57
86,0.35,-0.18
87,2.33,2.94
88,1.42,3.22
89,1.8,4.24
90,1.79,2.32
91,1.6,2.35
92,0.7,3.55
93,2.04,2.13
94,2.3,3.14
95,1.51,1.75
96,1.19,2.81
97,2.32,2.93
98,1.04,-1.03
99,1.84,3.22
